ticker,elem,loss_profit,max_d5y,min_d5y,avg_d5y,max_d3y,min_d3y,avg_dy3
IJH,p3y,profit,0.5609756,0.3159892,0.5389505,0.5609756,0.3159892,0.5265949
IJH,p5y,profit,0.5609756,0.3159892,0.5389505,0.5609756,0.3159892,0.5389505
IJH,p3y,loss,0.1227856,0,0.02661217,0.1227856,0,0.02661217
IJJ,p3y,profit,0.596286,0.430113,0.566883,0.596286,0.430113,0.566883
IJJ,p5y,profit,0.596286,0.3820345,0.5661474,0.596286,0.3820345,0.5661474
IJJ,p3y,loss,0.1142428,0,0.03756933,0.1142428,0,0.03756933
IJJ,p5y,loss,0.02191155,0,0.01095577,0.02191155,0,0.01095577
IJK,p3y,profit,0.5448296,0.3146854,0.5266318,0.5448296,0.3146854,0.5185746
IJK,p5y,profit,0.5448296,0.3571642,0.5288469,0.5448296,0.3571642,0.5288469
IJK,p3y,loss,0.06826871,0,0.01838791,0.06826871,0,0.01838791
IMCB,p3y,profit,0.5950664,0.2450697,0.5922664,0.5950664,0.2204999,0.5813042
IMCB,p5y,profit,0.5950664,0.5950664,0.5950664,0.5950664,0.5836123,0.5941345
IMCB,p3y,loss,-0w,0w,,0.03613041,0,0.02144154
IMCG,p3y,profit,0.5898815,0.5898815,0.5898815,0.5898815,0.3838902,0.5800858
IMCG,p5y,profit,0.5898815,0.5898815,0.5898815,0.5898815,0.5898815,0.5898815
IMCV,p3y,profit,0.6643402,0.4399565,0.6612367,0.6643402,0.1647752,0.5803856
IMCV,p5y,profit,0.6643402,0.6643402,0.6643402,0.6643402,0.158828,0.5685263
IMCV,p3y,loss,0.04461601,0.03149863,0.04036916,0.04461601,0.03149863,0.04190777
IMCV,p5y,loss,0.03810935,0.03810935,0.03810935,0.03810935,0.03810935,0.03810935
IWP,p3y,profit,0.5885561,0.3783455,0.5739962,0.5885561,0.3783455,0.5739962
IWP,p5y,profit,0.5885561,0.3346835,0.5725011,0.5885561,0.3346835,0.5725011
IWP,p3y,loss,0.03630617,0.03630617,0.03630617,0.1235727,0,0.02698462
IWR,p3y,profit,0.5986095,0.3593435,0.5770772,0.5986095,0.3593435,0.5770772
IWR,p5y,profit,0.5986095,0.3142425,0.5758295,0.5986095,0.3142425,0.5758295
IWR,p3y,loss,0.04008869,0,0.0201194,0.09915307,0,0.03025007
IWS,p3y,profit,0.6394357,0.4366335,0.610172,0.6394357,0.4366335,0.610172
IWS,p5y,profit,0.6394357,0.3350114,0.6095068,0.6394357,0.3350114,0.6095068
IWS,p3y,loss,0.07610917,0,0.02954975,0.07610917,0,0.03033662
IWS,p5y,loss,0.02652282,0.02652282,0.02652282,0.02652282,0.02652282,0.02652282
